file,split,source,source_detail,classes,box_count,sha256
OLD_DATASET_cup_IMG_20260831_084520.jpg,test,dataset_real,user-provided real capture; folder class visually audited,keyboard,1,f43251afc1a9f64a4404839ab9587918c73c29ed1adc7e13788f5869b4278c0e
OLD_DATASET_cup_IMG_20260831_084520_3.jpg,test,dataset_real,user-provided real capture; folder class visually audited,keyboard,1,ff39e999d0259fb1c0090d6bfa27acecc048fb009ea1c417d50386ea5ec72288
OLD_DATASET_cup_IMG_20260831_084520_4.jpg,test,dataset_real,user-provided real capture; folder class visually audited,keyboard,1,588bf4bd61878c830b6f73303d2885e2d83661314345e1008c64cbd454a4f81c
OLD_DATASET_cup_IMG_20260831_084521.jpg,test,dataset_real,user-provided real capture; folder class visually audited,keyboard,1,882cb82408ace6de540014e0724faf058f08988bf134c3ad54ed009c9d9ef2d0
OLD_DATASET_cup_IMG_20260831_084524_5.jpg,test,dataset_real,user-provided real capture; folder class visually audited,keyboard,1,9de3ba3cff036a951dfd628ac9a419f7b53974e00c1ce298539e148a6c3891b2
OLD_DATE_0_10.jpg,test,date_real,user-provided real capture; prefix mapping visually audited,mouse;keyboard;laptop,3,b28917c488017c5ada1d17e378da24a1f42e81af2702077fa61eaf74053b4e13
OLD_DATE_0_11.jpg,test,date_real,user-provided real capture; prefix mapping visually audited,mouse;keyboard;laptop,3,40dc60ab6759b2e9516bf50fd437aadc8bde6d9d17b963f1d74c9c4f5ad0e987
OLD_DATE_0_4.jpg,test,date_real,user-provided real capture; prefix mapping visually audited,mouse;laptop,2,af559daaabc8ecad0ec1533d9a7671f075dd09ba2f564d5715af6a76fe2b28e4
OLD_DATE_0_5.jpg,test,date_real,user-provided real capture; prefix mapping visually audited,mouse;laptop,3,90cb47a580eeb2650548b395fd2e6dae8d69dc21308c1a3e54bb8f6c1f0ef24c
OLD_DATE_0_6.jpg,test,date_real,user-provided real capture; prefix mapping visually audited,mouse;laptop,2,db8f12a35fab86c92f3bde61ec0261e27a5711f58af23c58f04f4b877085c686
OLD_DATE_0_7.jpg,test,date_real,user-provided real capture; prefix mapping visually audited,mouse;laptop,2,3df20431332199e17895fbb254849590520f38fce98fe137a619b24e746684d9
OLD_DATE_0_8.jpg,test,date_real,user-provided real capture; prefix mapping visually audited,keyboard;laptop,2,92bde4c122d7e62abbbac79965cfcd160e714e54af6b08911ecf0498d3221b15
OLD_DATE_0_9.jpg,test,date_real,user-provided real capture; prefix mapping visually audited,keyboard;laptop,2,22325a07290a9299f5f51a71e21835ba696f82fa30c628f5d967af74f29dfc4d
OLD_DATE_1_4.jpg,test,date_real,user-provided real capture; prefix mapping visually audited,,0,e217582ff10d58c67ece476e8e633c618e962168ebc0215f2a24b04ca1ff7c5a
OLD_DATE_1_5.jpg,test,date_real,user-provided real capture; prefix mapping visually audited,,0,917698044f9d4adfc5f93f29a899bf1b3f95a37fa8e2d083a91d826dfdfd84f6
OLD_DATE_1_6.jpg,test,date_real,user-provided real capture; prefix mapping visually audited,,0,d949cb0dfdfa349e73caf60e4795d05c8b6753a2803b1d00bf326ca44a4902ff
OLD_DATE_1_7.jpg,test,date_real,user-provided real capture; prefix mapping visually audited,,0,005aab2d0689b0cbfca1e0447c00d17bfe8ef33769f0cd28d09ca35adc171328
OLD_OIV7_laptop_OI7_LAP_0006_a7e5d2727af4299d.jpg,test,openimages_curated,Open Images V7 validation; curated narrow-class subset,keyboard;laptop,2,245ca65368ad9c8816bfc32275e43a24570872a0e701dca26f569f4856a8b1f2
OLD_OIV7_laptop_OI7_LAP_0008_b6ab01e24cac855b.jpg,test,openimages_curated,Open Images V7 validation; curated narrow-class subset,keyboard;laptop,6,b8381def85e954abf7d91b6805f2809c35df4bacd1dd644f5e23028d14ab0cf3
OLD_OIV7_mouse_OI7_MOU_0004_128f92487d754a0c.jpg,test,openimages_curated,Open Images V7 validation; curated narrow-class subset,mouse,2,c5583b69e5b55d852ba6fb9deaa8bfe77a2af39377527a9e1a4e9786b0d5b54e
OLD_P03_S02_MIX_0006.jpg,test,p03_mixed,initial_ai_or_local,mouse;keyboard;laptop;headphones,4,951567cb15a4e5308981091468bc93b06d52bda880736a8a98a171e1288683d8
